model_name,notebook,spatial_resolution,temporal_resolution,unit_id,median_demand,rmse,mae,r2,skill,relative_mae,last_run_at
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,27,2.0,1.74,1.26,0.417,0.0307692307692307,0.42,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,28,221.0,186.41,130.76,0.4288,-0.6661569826707439,0.589009009009009,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,29,2.0,1.77,1.29,0.399,-0.0078125,0.43,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,30,1.0,1.45,1.1,0.1411,-0.0679611650485436,0.55,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,31,4.0,5.24,3.63,0.0218,-0.0431034482758621,0.726,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,32,347.0,282.98,188.23,0.4325,-1.238435010108217,0.5408908045977011,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,33,61.0,98.07,51.43,0.1604,-0.5033615901783104,0.829516129032258,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,34,6.0,7.52,4.71,0.1624,-0.0536912751677853,0.6728571428571428,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,35,14.0,9.1,6.71,0.6535,-0.4714912280701755,0.4473333333333333,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,36,4.0,2.45,1.95,0.6715,0.088785046728972,0.39,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,37,3.0,2.87,2.27,-1.0702,0.1269230769230769,0.5675,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,38,12.0,5.58,4.48,0.7627,-0.157622739018088,0.3446153846153846,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,39,9.0,4.86,3.81,0.738,-0.1580547112462005,0.381,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,40,3.0,1.96,1.47,0.5902,0.0516129032258064,0.3675,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,41,13.0,13.82,9.37,0.474,-1.1103603603603598,0.6692857142857143,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,42,6.0,3.31,2.4,0.6707,0.0163934426229508,0.3428571428571428,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,43,15.0,5.6,4.52,0.5057,0.1811594202898551,0.2825,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,44,13.0,6.17,5.01,0.1727,0.1406518010291595,0.3578571428571428,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,45,2.0,1.49,1.05,0.5345,0.1322314049586775,0.35,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,46,5.0,2.47,1.92,0.4128,0.1999999999999999,0.32,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,47,0.0,1.1,0.76,0.3085,-0.0270270270270269,0.76,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,48,2.0,1.81,1.41,0.3925,0.1454545454545455,0.47,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,49,7.0,3.78,3.0,0.2391,0.0625,0.375,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,50,3.0,2.31,1.77,0.0357,0.1571428571428571,0.4425,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,51,4.0,2.49,1.96,0.0958,0.0798122065727698,0.392,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,52,1.0,1.56,1.16,-0.8731,0.1007751937984496,0.58,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,53,7.0,5.06,4.08,-1.0923,0.0422535211267605,0.51,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,54,2.0,1.96,1.48,-0.6483,0.1542857142857142,0.4933333333333333,2026-07-17T19:23:07
